INTF ID,Gregory-Aland,Unambiguous Agreements (A),Ambiguous Agreements (≟),Unambiguous Disagreements (D),Similarity Lower Bound,Similarity Mean,Similarity Upper Bound,Rank
31210,1210,48,65,40,0.4414334026251195,0.5454545454545454,0.6455835927900364,1331
30191,191,48,65,40,0.4414334026251195,0.5454545454545454,0.6455835927900364,1332
31313,1313,48,65,40,0.4414334026251195,0.5454545454545454,0.6455835927900364,1333
32132,2132,6,11,5,0.2766696856821058,0.5454545454545454,0.7890553617607032,1334
31690,1690,48,65,40,0.4414334026251195,0.5454545454545454,0.6455835927900364,1335
30145,145,48,64,40,0.4414334026251195,0.5454545454545454,0.6455835927900364,1336
30122,122,48,65,40,0.4414334026251195,0.5454545454545454,0.6455835927900364,1337
30516,516,48,65,40,0.4414334026251195,0.5454545454545454,0.6455835927900364,1338
30175,175,48,65,40,0.4414334026251195,0.5454545454545454,0.6455835927900364,1339
31421,1421,48,63,40,0.4414334026251195,0.5454545454545454,0.6455835927900364,1340
31375,1375,48,65,40,0.4414334026251195,0.5454545454545454,0.6455835927900364,1341
31414,1414,48,59,40,0.4414334026251195,0.5454545454545454,0.6455835927900364,1342
30028,28,49,63,41,0.4415881403411085,0.5444444444444444,0.6435770041306651,1343
20036,036,49,63,41,0.4415881403411085,0.5444444444444444,0.6435770041306651,1344
20007,07,49,62,41,0.4415881403411085,0.5444444444444444,0.6435770041306651,1345
32278,2278,49,63,41,0.4415881403411085,0.5444444444444444,0.6435770041306651,1346
32328,2328,49,63,41,0.4415881403411085,0.5444444444444444,0.6435770041306651,1347
32603,2603,49,63,41,0.4415881403411085,0.5444444444444444,0.6435770041306651,1348
30036,36,49,63,41,0.4415881403411085,0.5444444444444444,0.6435770041306651,1349
30070,70,49,63,41,0.4415881403411085,0.5444444444444444,0.6435770041306651,1350
32545,2545,49,63,41,0.4415881403411085,0.5444444444444444,0.6435770041306651,1351
32422,2422,49,63,41,0.4415881403411085,0.5444444444444444,0.6435770041306651,1352
31901,1901,49,62,41,0.4415881403411085,0.5444444444444444,0.6435770041306651,1353
30048,48,49,63,41,0.4415881403411085,0.5444444444444444,0.6435770041306651,1354
30064,64,49,63,41,0.4415881403411085,0.5444444444444444,0.6435770041306651,1355
30376,376,49,63,41,0.4415881403411085,0.5444444444444444,0.6435770041306651,1356
30947,947,49,61,41,0.4415881403411085,0.5444444444444444,0.6435770041306651,1357
31441,1441,49,62,41,0.4415881403411085,0.5444444444444444,0.6435770041306651,1358
31485,1485,49,63,41,0.4415881403411085,0.5444444444444444,0.6435770041306651,1359
30229,229,49,62,41,0.4415881403411085,0.5444444444444444,0.6435770041306651,1360
31479,1479,49,63,41,0.4415881403411085,0.5444444444444444,0.6435770041306651,1361
31229,1229,49,63,41,0.4415881403411085,0.5444444444444444,0.6435770041306651,1362
31647,1647,49,63,41,0.4415881403411085,0.5444444444444444,0.6435770041306651,1363
30941,941,49,63,41,0.4415881403411085,0.5444444444444444,0.6435770041306651,1364
30435,435,49,63,41,0.4415881403411085,0.5444444444444444,0.6435770041306651,1365
30556,556,49,63,41,0.4415881403411085,0.5444444444444444,0.6435770041306651,1366
30215,215,49,63,41,0.4415881403411085,0.5444444444444444,0.6435770041306651,1367
31310,1310,49,63,41,0.4415881403411085,0.5444444444444444,0.6435770041306651,1368
31418,1418,49,63,41,0.4415881403411085,0.5444444444444444,0.6435770041306651,1369
31581,1581,49,63,41,0.4415881403411085,0.5444444444444444,0.6435770041306651,1370
30287,287,49,63,41,0.4415881403411085,0.5444444444444444,0.6435770041306651,1371
30525,525,49,63,41,0.4415881403411085,0.5444444444444444,0.6435770041306651,1372
30522,522,49,63,41,0.4415881403411085,0.5444444444444444,0.6435770041306651,1373
31593,1593,49,63,41,0.4415881403411085,0.5444444444444444,0.6435770041306651,1374
30784,784,49,63,41,0.4415881403411085,0.5444444444444444,0.6435770041306651,1375
31359,1359,49,63,41,0.4415881403411085,0.5444444444444444,0.6435770041306651,1376
